%time,field.data
1760177370174969800,-0.006
1760177370425576500,-0.006
1760177370671203900,-0.006
1760177370921389500,-0.006
1760177371172552800,-0.006
1760177371424034300,-0.006
1760177371674149500,-0.006
1760177371924758200,-0.006
1760177372176056200,-0.006
1760177372426473100,-0.006
1760177372671993600,-0.006
1760177372922383800,-0.006
1760177373173381000,-0.006
1760177373423974100,-0.006
1760177373675379400,-0.006
1760177373925742100,-0.006
1760177374176711900,-0.006
1760177374427808200,-0.006
1760177374673371300,-0.006
1760177374923881400,-0.006
1760177375174813200,-0.006
1760177375425403400,-0.006
1760177375676312700,-0.006
1760177375927008600,-0.006
1760177376177999900,-0.006
1760177376428873300,-0.006
1760177376674275200,-0.006
1760177376924944000,-0.006
1760177377177214800,0.003
1760177377428143000,0.003
1760177377673591700,0.003
1760177377924106400,0.003
1760177378175215500,0.003
1760177378425736300,0.003
1760177378676841900,0.003
1760177378927823800,0.003
1760177379178409700,0.003
1760177379429164500,0.003
1760177379674236500,0.003
1760177379925311900,0.003
1760177380176310000,0.003
1760177380426711500,0.007
1760177380677647600,0.043
1760177380928492900,0.112
1760177381179591700,0.302
1760177381430139800,0.595
1760177381675448900,0.875
1760177381926419300,1.154
1760177382177380700,1.407
1760177382428645600,1.619
1760177382678939200,1.788
1760177382929916200,1.914
1760177383181073800,1.997
1760177383431577900,2.059
1760177383676463400,2.161
1760177383927765100,2.332
1760177384178423000,2.577
1760177384429066200,2.87
1760177384679907700,3.161
1760177384931525300,3.423
1760177385181810200,3.642
1760177385433157100,3.815
1760177385677561400,3.941
1760177385928440500,4.02
1760177386179309600,4.052
1760177386430223600,4.049
1760177386681040500,4.031
1760177386932036200,4.011
1760177387183097300,3.997
1760177387427894700,3.99
1760177387679349600,3.987
1760177387929767900,3.988
1760177388180850400,3.991
1760177388431561700,3.996
1760177388682240200,3.998
1760177388933090300,3.999
1760177389184171700,3.998
1760177389429322100,3.998
1760177389679959200,3.998
1760177389930893300,3.999
1760177390181945500,4.001
1760177390432907900,4.004
1760177390683256100,4.005
1760177390934808200,4.007
1760177391185308900,4.008
1760177391430644500,4.008
1760177391681125400,4.008
1760177391932537300,4.007
1760177392182961400,4.008
1760177392434016300,4.01
1760177392684405600,4.01
1760177392935726900,4.01
1760177393186269600,4.009
1760177393431661300,4.008
1760177393682266700,4.007
1760177393933200900,4.008
1760177394184323700,4.009
1760177394434889400,4.009
1760177394685874600,4.01
1760177394936858600,4.01
1760177395187997300,4.011
1760177395432652800,4.01
1760177395683503900,4.01
1760177395934283700,4.009
1760177396185225400,4.01
1760177396435919400,4.012
1760177396686859400,4.012
1760177396937526000,4.012
1760177397188374800,4.01
1760177397433535700,4.008
1760177397684601000,4.008
1760177397935847000,4.008
1760177398186415000,4.009
1760177398437226900,4.009
1760177398688076400,4.01
1760177398938971200,4.01
1760177399189920900,4.011
1760177399435601300,4.011
1760177399686294500,4.01
1760177399936838800,4.009
1760177400187786800,4.011
1760177400438798600,4.013
1760177400689320200,4.014
1760177400940255300,4.013
1760177401191077700,4.012
1760177401436790400,4.01
1760177401687966200,4.009
1760177401938420100,4.009
1760177402189336500,4.009
1760177402440012600,4.009
1760177402690947000,4.01
1760177402941273300,4.01
1760177403191903900,4.01
1760177403436915500,4.01
1760177403687789900,4.01
1760177403938653200,4.01
1760177404190210100,4.011
1760177404440585700,4.011
1760177404691190600,4.011
1760177404942110200,4.011
1760177405193211400,4.011
1760177405438219500,4.011
1760177405689426000,4.011
1760177405939771200,4.011
1760177406190930400,4.011
1760177406442008400,4.011
1760177406692467200,4.011
1760177406943348700,4.011
1760177407194534100,4.011
1760177407439527400,4.011
1760177407690413300,4.01
1760177407941166700,4.009
1760177408192135700,4.009
1760177408442951300,4.01
1760177408694043200,4.012
1760177408944503600,4.013
1760177409195542700,4.016
1760177409441049300,4.017
1760177409691589700,4.016
1760177409942662300,4.014
1760177410193194000,4.011
1760177410444098700,4.009
1760177410694962400,4.008
1760177410945775700,4.008
1760177411196790800,4.009
1760177411441638500,4.009
1760177411692547600,4.01
1760177411943418200,4.011
1760177412194532600,4.011
1760177412444831300,4.011
1760177412696094900,4.011
1760177412947346300,4.011
1760177413197849100,4.011
1760177413443096900,4.01
1760177413694036300,4.008
1760177413944246000,4.008
1760177414195626200,4.01
1760177414446886800,4.012
1760177414697453100,4.013
1760177414947955200,4.012
1760177415199055700,4.01
1760177415443979900,4.008
1760177415695118000,4.007
1760177415945645900,4.007
1760177416196358200,4.007
1760177416447261600,4.007
1760177416698354500,4.008
1760177416949581200,4.008
1760177417200174600,4.009
1760177417445495100,4.009
1760177417695895800,4.008
1760177417946959000,4.008
1760177418197837500,4.01
1760177418448432300,4.013
1760177418699876400,4.014
1760177418950090900,4.013
1760177419201104100,4.011
1760177419446285500,4.01
1760177419697181100,4.009
1760177419947852600,4.008
1760177420198642200,4.008
1760177420449499600,4.009
1760177420700319500,4.009
1760177420951515600,4.009
1760177421202276200,4.009
1760177421447204200,4.009
1760177421698147700,4.008
1760177421949749600,4.007
1760177422200185800,4.009
1760177422451080200,4.011
1760177422701696700,4.012
1760177422952456700,4.012
1760177423203151900,4.01
1760177423448321600,4.009
1760177423699204400,4.008
1760177423950259100,4.008
1760177424201051400,4.008
1760177424451557000,4.008
1760177424702528300,4.009
1760177424953732600,4.009
1760177425204669800,4.009
1760177425449629900,4.009
1760177425700480800,4.008
1760177425951225700,4.008
1760177426202321300,4.009
1760177426452849400,4.011
1760177426703564300,4.012
1760177426954492600,4.012
1760177427205360300,4.01
1760177427451053200,4.009
1760177427701525900,4.008
1760177427952761400,4.008
1760177428203418300,4.008
1760177428454117400,4.009
1760177428705391800,4.009
1760177428955719300,4.009
1760177429206621700,4.009
1760177429451717500,4.009
1760177429702933600,4.009
1760177429953875000,4.008
1760177430204869800,4.009
1760177430455535600,4.011
