%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1758482328157990200,4589,1758482328159625344,base_link,-0.0007988588855427938,-0.0001111001455288347,-0.7424556864038804,-0.6698946956110201,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0003801260609179735,-0.0003015040419995786,-0.0009274447802454233,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.202169221539125e-15,9.81645665,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758482328408955000,4590,1758482328409813760,base_link,-0.0008015889214061717,-0.00011400706525449226,-0.7424608592156775,-0.6698889587015957,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00031454325653612614,-0.00029840529896318923,-0.0009162325877696276,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.202169221539125e-15,9.81645665,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758482328659858100,4591,1758482328659936384,base_link,-0.0008040052004951201,-0.00011246058499548663,-0.7424622118246591,-0.6698874569214516,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0003373902291059494,-0.0002835479099303485,-0.0009150577243417501,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.202169221539125e-15,9.81645665,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758482328911380400,4592,1758482328910116608,base_link,-0.0007988986987414286,-0.00011416203554686479,-0.7424681761950644,-0.6698808521412397,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00030799652449786663,-0.00029315147548913967,-0.0008223565528169274,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.202169221539125e-15,9.81645665,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758482329161815700,4593,1758482329160242560,base_link,-0.0007968029553098309,-0.00011522161345929985,-0.7424692093291893,-0.6698797093711069,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0003027576021850109,-0.00034160306677222263,-0.0008659247541800141,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.202169221539125e-15,9.81645665,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758482329412203600,4594,1758482329410423552,base_link,-0.0007972617322319808,-0.00011359308490944895,-0.7424745822587553,-0.6698737539044416,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00027104769833385944,-0.00026781437918543826,-0.0008420896483585238,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.202169221539125e-15,9.81645665,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758482329657492300,4595,1758482329660543872,base_link,-0.0008007153042454932,-0.00011384497601221246,-0.7424739781440013,-0.669874419330477,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00040229130536317825,-0.00027945288456976425,-0.0009128220845013857,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.202169221539125e-15,9.81645665,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758482329908444800,4596,1758482329910733312,base_link,-0.0007986356641806245,-0.00011455727319848544,-0.7424769627619158,-0.6698711135924191,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0002755196765065193,-0.00026970054022967826,-0.000926310196518898,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.202169221539125e-15,9.81645665,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758482330159239700,4597,1758482330160849536,base_link,-0.0007994164880557541,-0.0001127207149243648,-0.7424761693554561,-0.669871992373593,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0004173468332737684,-0.0003863438032567502,-0.0009250779403373599,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.2009682532858392e-15,9.80665,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758482330410580400,4598,1758482330411031296,base_link,-0.0008024635484929839,-0.00011059529068793105,-0.7424798626916346,-0.6698678954229305,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0003548520617187023,-0.0003399359993636609,-0.0008297179592773318,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.202169221539125e-15,9.81645665,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
